image_path,image_id,class_id,class_name,group,fold
/kaggle/input/aio-hutech/train\nấm mỡ\NM001.jpg,NM001,0,nấm mỡ,nm nen do,3
/kaggle/input/aio-hutech/train\nấm mỡ\NM002.jpg,NM002,0,nấm mỡ,nm nen do,3
/kaggle/input/aio-hutech/train\nấm mỡ\NM003.jpg,NM003,0,nấm mỡ,nm nen do,3
/kaggle/input/aio-hutech/train\nấm mỡ\NM004.jpg,NM004,0,nấm mỡ,nm nen do,3
/kaggle/input/aio-hutech/train\nấm mỡ\NM005.jpg,NM005,0,nấm mỡ,nm nen do co seo,2
/kaggle/input/aio-hutech/train\nấm mỡ\NM006.jpg,NM006,0,nấm mỡ,nm nen do,3
/kaggle/input/aio-hutech/train\nấm mỡ\NM007.jpg,NM007,0,nấm mỡ,nm nen do,3
/kaggle/input/aio-hutech/train\nấm mỡ\NM008.jpg,NM008,0,nấm mỡ,nm nen do,3
/kaggle/input/aio-hutech/train\nấm mỡ\NM009.jpg,NM009,0,nấm mỡ,nm nen do co seo,2
/kaggle/input/aio-hutech/train\nấm mỡ\NM010.jpg,NM010,0,nấm mỡ,nm nen do co seo,2
/kaggle/input/aio-hutech/train\nấm mỡ\NM011.jpg,NM011,0,nấm mỡ,nm nen do co seo,2
/kaggle/input/aio-hutech/train\nấm mỡ\NM012.jpg,NM012,0,nấm mỡ,nm nen do,3
/kaggle/input/aio-hutech/train\nấm mỡ\NM013.jpg,NM013,0,nấm mỡ,nm nen do,3
/kaggle/input/aio-hutech/train\nấm mỡ\NM014.jpg,NM014,0,nấm mỡ,nm nen do,3
/kaggle/input/aio-hutech/train\nấm mỡ\NM015.jpg,NM015,0,nấm mỡ,nm nen do co seo,2
/kaggle/input/aio-hutech/train\nấm mỡ\NM016.jpg,NM016,0,nấm mỡ,nm nen do co seo,2
/kaggle/input/aio-hutech/train\nấm mỡ\NM017.jpg,NM017,0,nấm mỡ,nm nen do co seo,2
/kaggle/input/aio-hutech/train\nấm mỡ\NM018.jpg,NM018,0,nấm mỡ,nm nen do co seo,2
/kaggle/input/aio-hutech/train\nấm mỡ\NM019.jpg,NM019,0,nấm mỡ,nm nen do co seo,2
/kaggle/input/aio-hutech/train\nấm mỡ\NM020.jpg,NM020,0,nấm mỡ,nm nen do co seo,2
/kaggle/input/aio-hutech/train\nấm mỡ\NM021.jpg,NM021,0,nấm mỡ,nm nen do co seo,2
/kaggle/input/aio-hutech/train\nấm mỡ\NM022.jpg,NM022,0,nấm mỡ,nm nen do co seo,2
/kaggle/input/aio-hutech/train\nấm mỡ\NM023.jpg,NM023,0,nấm mỡ,nm nen do co seo,2
